Название,Артикул,Текущая_цена,История_цен
"/ Ночная сорочка. платье для дома, туника",151625641,466 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 41391}}, {""dt"": 1739059200, ""price"": {""RUB"": 43026}}, {""dt"": 1739664000, ""price"": {""RUB"": 42893}}, {""dt"": 1740268800, ""price"": {""RUB"": 43716}}, {""dt"": 1740873600, ""price"": {""RUB"": 49243}}, {""dt"": 1741478400, ""price"": {""RUB"": 50140}}, {""dt"": 1742083200, ""price"": {""RUB"": 50411}}, {""dt"": 1742688000, ""price"": {""RUB"": 50959}}, {""dt"": 1743292800, ""price"": {""RUB"": 45787}}, {""dt"": 1743897600, ""price"": {""RUB"": 49635}}, {""dt"": 1744502400, ""price"": {""RUB"": 48889}}, {""dt"": 1745107200, ""price"": {""RUB"": 48317}}]"
/ Брюки классические с высокой посадкой,293014137,1 526 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 162682}}, {""dt"": 1739059200, ""price"": {""RUB"": 159628}}, {""dt"": 1739664000, ""price"": {""RUB"": 155493}}, {""dt"": 1740268800, ""price"": {""RUB"": 154689}}, {""dt"": 1740873600, ""price"": {""RUB"": 156219}}, {""dt"": 1741478400, ""price"": {""RUB"": 156214}}, {""dt"": 1742083200, ""price"": {""RUB"": 157815}}, {""dt"": 1742688000, ""price"": {""RUB"": 159300}}, {""dt"": 1743292800, ""price"": {""RUB"": 159913}}, {""dt"": 1743897600, ""price"": {""RUB"": 157920}}, {""dt"": 1744502400, ""price"": {""RUB"": 155575}}, {""dt"": 1745107200, ""price"": {""RUB"": 155797}}]"
/ Блузка,223349815,1 374 ₽,"[{""dt"": 1740873600, ""price"": {""RUB"": 145400}}, {""dt"": 1742083200, ""price"": {""RUB"": 143392}}, {""dt"": 1742688000, ""price"": {""RUB"": 135570}}, {""dt"": 1743292800, ""price"": {""RUB"": 136138}}, {""dt"": 1743897600, ""price"": {""RUB"": 129607}}, {""dt"": 1744502400, ""price"": {""RUB"": 141765}}, {""dt"": 1745107200, ""price"": {""RUB"": 143141}}]"
/ Платье с разрезом повседневное,179998346,1 452 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 171768}}, {""dt"": 1739059200, ""price"": {""RUB"": 173901}}, {""dt"": 1739664000, ""price"": {""RUB"": 169037}}, {""dt"": 1740268800, ""price"": {""RUB"": 170945}}, {""dt"": 1740873600, ""price"": {""RUB"": 169854}}, {""dt"": 1741478400, ""price"": {""RUB"": 168724}}, {""dt"": 1742083200, ""price"": {""RUB"": 171625}}, {""dt"": 1742688000, ""price"": {""RUB"": 175382}}, {""dt"": 1743292800, ""price"": {""RUB"": 175142}}, {""dt"": 1743897600, ""price"": {""RUB"": 179984}}, {""dt"": 1744502400, ""price"": {""RUB"": 166439}}, {""dt"": 1745107200, ""price"": {""RUB"": 152099}}]"
/ Костюм полиции офисный форменный,273418217,6 302 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 453364}}, {""dt"": 1739059200, ""price"": {""RUB"": 512800}}, {""dt"": 1739664000, ""price"": {""RUB"": 498575}}, {""dt"": 1740268800, ""price"": {""RUB"": 568867}}, {""dt"": 1741478400, ""price"": {""RUB"": 696300}}, {""dt"": 1742083200, ""price"": {""RUB"": 684200}}, {""dt"": 1743292800, ""price"": {""RUB"": 655550}}, {""dt"": 1743897600, ""price"": {""RUB"": 613650}}, {""dt"": 1744502400, ""price"": {""RUB"": 618900}}, {""dt"": 1745107200, ""price"": {""RUB"": 614400}}]"
/ Летний костюм с шортами для девочки муслин,235580506,1 937 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 134550}}, {""dt"": 1739059200, ""price"": {""RUB"": 129533}}, {""dt"": 1739664000, ""price"": {""RUB"": 132033}}, {""dt"": 1740268800, ""price"": {""RUB"": 129867}}, {""dt"": 1740873600, ""price"": {""RUB"": 128252}}, {""dt"": 1741478400, ""price"": {""RUB"": 129700}}, {""dt"": 1742083200, ""price"": {""RUB"": 133300}}, {""dt"": 1742688000, ""price"": {""RUB"": 191700}}, {""dt"": 1743292800, ""price"": {""RUB"": 132200}}, {""dt"": 1743897600, ""price"": {""RUB"": 135800}}, {""dt"": 1744502400, ""price"": {""RUB"": 167502}}, {""dt"": 1745107200, ""price"": {""RUB"": 193289}}]"
/ Юбка длинная шелковая летняя,212727465,3 156 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 223885}}, {""dt"": 1739059200, ""price"": {""RUB"": 217544}}, {""dt"": 1739664000, ""price"": {""RUB"": 225324}}, {""dt"": 1740268800, ""price"": {""RUB"": 238570}}, {""dt"": 1740873600, ""price"": {""RUB"": 247171}}, {""dt"": 1741478400, ""price"": {""RUB"": 249039}}, {""dt"": 1742083200, ""price"": {""RUB"": 262371}}, {""dt"": 1742688000, ""price"": {""RUB"": 273016}}, {""dt"": 1743292800, ""price"": {""RUB"": 279165}}, {""dt"": 1743897600, ""price"": {""RUB"": 282766}}, {""dt"": 1744502400, ""price"": {""RUB"": 280410}}, {""dt"": 1745107200, ""price"": {""RUB"": 290423}}]"
/ Джинсы скинни с высокой посадкой стрейч зауженные,211715911,1 845 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 169927}}, {""dt"": 1739059200, ""price"": {""RUB"": 171497}}, {""dt"": 1739664000, ""price"": {""RUB"": 170115}}, {""dt"": 1740268800, ""price"": {""RUB"": 171115}}, {""dt"": 1740873600, ""price"": {""RUB"": 171626}}, {""dt"": 1741478400, ""price"": {""RUB"": 172470}}, {""dt"": 1742083200, ""price"": {""RUB"": 175500}}, {""dt"": 1742688000, ""price"": {""RUB"": 176954}}, {""dt"": 1743292800, ""price"": {""RUB"": 175908}}, {""dt"": 1743897600, ""price"": {""RUB"": 175401}}, {""dt"": 1744502400, ""price"": {""RUB"": 175593}}, {""dt"": 1745107200, ""price"": {""RUB"": 177219}}]"
/ Костюм летний рубашка с шортами,156517006,1 834 ₽,"[{""dt"": 1740873600, ""price"": {""RUB"": 202500}}, {""dt"": 1741478400, ""price"": {""RUB"": 177179}}, {""dt"": 1742083200, ""price"": {""RUB"": 187333}}, {""dt"": 1742688000, ""price"": {""RUB"": 191300}}, {""dt"": 1743292800, ""price"": {""RUB"": 188425}}, {""dt"": 1743897600, ""price"": {""RUB"": 175200}}, {""dt"": 1744502400, ""price"": {""RUB"": 165800}}, {""dt"": 1745107200, ""price"": {""RUB"": 166500}}]"
/ Очки солнцезащитные модные тренд 2025,163496570,909 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 56458}}, {""dt"": 1739059200, ""price"": {""RUB"": 75875}}, {""dt"": 1739664000, ""price"": {""RUB"": 80240}}, {""dt"": 1740268800, ""price"": {""RUB"": 103559}}, {""dt"": 1740873600, ""price"": {""RUB"": 112567}}, {""dt"": 1741478400, ""price"": {""RUB"": 101360}}, {""dt"": 1742083200, ""price"": {""RUB"": 97837}}, {""dt"": 1742688000, ""price"": {""RUB"": 96568}}, {""dt"": 1743292800, ""price"": {""RUB"": 96052}}, {""dt"": 1743897600, ""price"": {""RUB"": 95014}}, {""dt"": 1744502400, ""price"": {""RUB"": 96382}}, {""dt"": 1745107200, ""price"": {""RUB"": 96558}}]"
